Classifiers,Accuracy,Precision,Recall,F1
random forest,94.21540428251838,94.2642046677348,94.30619108561666,94.24236662383463
Decision tree,92.55353147970598,92.46315900134576,92.67041658211157,92.5016615820209
svm,54.682007031000325,53.852608314958815,55.19022147192542,53.99022679515865
Kernel-SVM,64.8130393096836,68.20876119680361,65.27523962610327,65.88562376601278
k-Neighbors,82.67817193991691,81.84662108315838,82.93931034958133,82.04040315542096
naive bayes,47.68296580377117,50.616211201583816,48.144487480226196,46.88112114611812
